id, university_id, tool_id, access_type, date_created, notes,tool_name,
1, 1,91,Login,,,ValueLine,
2,1,44,Login,,,Factiva,"""https://snapshot-factiva-com.ezproxy.lib.utah.edu/Pages/Index"""
,,,,,,,
,,,,,,,
